Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2013,6,5.0,2013,6,8.0,15.0,21.0,10000.0,10000.0,372995.0,74.26372907327385
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,29905.0,2012,6,12.0,2012,6,13.0,29.0,2.0,25450.0,30929.0,1366.0,73.19159160611325
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2016,7,11.0,2016,7,19.0,19.0,21.0,1354.0,1354.0,107022.0,76.51121620386147
Climatological,Drought,Drought,LKA,Sri Lanka,Southern Asia,3500.0,2012,1,,2012,1,,37.0,45.5,1800000.0,1800000.0,364331.0,73.19159160611325
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,29905.0,2013,1,15.0,2013,1,23.0,10.0,21.0,507769.0,507769.0,3770.0,74.26372907327385
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,67600.0,2013,1,3.0,2013,1,10.0,8.0,21.0,1000.0,1000.0,107022.0,74.26372907327385
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,29905.0,2013,6,8.0,2013,6,8.0,58.0,15.0,17199.0,17214.0,2693.0,74.26372907327385
Hydrological,Flood,Riverine flood,PSE,State of Palestine,Western Asia,29142.0,2013,1,8.0,2013,1,10.0,5.0,21.0,12500.0,12500.0,107022.0,74.26372907327385
Hydrological,Flood,Riverine flood,PAK,Pakistan,Southern Asia,29905.0,2013,2,3.0,2013,2,6.0,34.0,57.0,25450.0,57.0,107022.0,74.26372907327385
Meteorological,Storm,Lightning/Thunderstorms,CHN,China,Eastern Asia,144.0,2013,3,18.0,2013,3,20.0,25.0,324.0,1398000.0,1398324.0,348757.0,74.26372907327385
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,7.7,2013,4,16.0,2013,4,16.0,7.0,27.0,12426.0,27.0,104477.5,74.26372907327385
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,6.6,2013,4,20.0,2013,4,20.0,198.0,14785.0,2184000.0,2198785.0,9156556.0,74.26372907327385
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,29905.0,2013,4,7.0,2013,4,11.0,11.0,21.0,115000.0,115000.0,107022.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,144.0,2013,5,16.0,2013,5,16.0,8.0,4.0,40000.0,4.0,97437.0,74.26372907327385
Meteorological,Storm,Tropical cyclone,LKA,Sri Lanka,Southern Asia,144.0,2013,5,13.0,2013,5,16.0,7.0,52.0,3478.0,7339.0,97437.0,74.26372907327385
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,29905.0,2013,2,4.0,2013,2,10.0,10.0,21.0,5000.0,5000.0,107022.0,74.26372907327385
Hydrological,Flood,Riverine flood,AFG,Afghanistan,Southern Asia,29905.0,2013,8,1.0,2013,8,7.0,52.0,2.0,2595.0,2597.0,107022.0,74.26372907327385
Geophysical,Earthquake,Ground movement,AFG,Afghanistan,Southern Asia,5.5,2013,4,24.0,2013,4,24.0,18.0,141.0,3390.0,3531.0,104477.5,74.26372907327385
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,0.0,2013,3,29.0,2013,3,29.0,83.0,13.0,1275.5,300.0,20565.5,74.26372907327385
