Disaster_Subgroup,Disaster_Type,Disaster_Subtype,ISO,Country,Subregion,Magnitude,Start_Year,Start_Month,Start_Day,End_Year,End_Month,End_Day,Total_Deaths,No_Injured,No_Affected,Total_Affected,Total_Damage_Adj,CPI
Hydrological,Flood,Flash flood,YEM,Yemen,Western Asia,29905.0,2021,5,1.0,2021,5,17.0,13.0,21.0,22380.0,22380.0,107022.0,86.38165694109576
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,155.0,2021,5,25.0,2021,5,29.0,19.0,52.0,1625000.0,1625000.0,3472960.0,86.38165694109576
Hydrological,Flood,Flash flood,NPL,Nepal,Southern Asia,29905.0,2021,6,16.0,2021,6,17.0,46.0,20.0,800.0,820.0,107022.0,86.38165694109576
Hydrological,Flood,Flood (General),IND,India,Southern Asia,29905.0,2021,6,1.0,2021,6,30.0,59.0,21.0,1000.0,1000.0,115765.0,86.38165694109576
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,5.9,2021,6,16.0,2021,6,16.0,7.0,89.0,750.0,750.0,104477.5,86.38165694109576
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,90.0,2021,6,12.0,2021,6,13.0,1.0,52.0,750.0,750.0,11577.0,86.38165694109576
Climatological,Wildfire,Forest fire,CYP,Cyprus,Western Asia,47.5,2021,7,3.0,2021,7,5.0,4.0,28.5,150.0,150.0,54410.0,86.38165694109576
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,7.4,2001,2,13.0,2001,2,13.0,7.0,89.0,12426.0,7887.5,104477.5,56.44657635473563
Hydrological,Mass movement (wet),Mudslide,KGZ,Kyrgyzstan,Central Asia,0.0,2021,7,12.0,2021,7,13.0,15.0,13.0,1275.5,300.0,20565.5,86.38165694109576
Hydrological,Mass movement (wet),Mudslide,TJK,Tajikistan,Central Asia,0.0,2021,7,19.0,2021,7,20.0,12.0,13.0,1275.5,300.0,20565.5,86.38165694109576
Hydrological,Flood,Flood (General),IND,India,Southern Asia,29905.0,2021,6,1.0,2021,6,30.0,1282.0,21.0,375000.0,375000.0,3588725.0,86.38165694109576
Hydrological,Flood,Flood (General),MMR,Myanmar,South-eastern Asia,126118.62,2021,7,21.0,2021,7,29.0,19.0,21.0,125000.0,125000.0,107022.0,86.38165694109576
Geophysical,Earthquake,Ground movement,AFG,Afghanistan,Southern Asia,5.0,2001,6,1.0,2001,6,1.0,4.0,20.0,12426.0,270.0,104477.5,56.44657635473563
Meteorological,Storm,Tropical cyclone,KOR,Republic of Korea,Eastern Asia,144.0,2021,8,23.0,2021,8,24.0,12.0,52.0,600.0,600.0,15049.0,86.38165694109576
Hydrological,Flood,Flood (General),KHM,Cambodia,South-eastern Asia,29905.0,2021,9,15.0,2021,9,17.0,19.0,21.0,500.0,500.0,107022.0,86.38165694109576
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,144.0,2021,9,6.0,2021,9,8.0,17.0,24.0,313373.0,313397.0,97437.0,86.38165694109576
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,29905.0,2021,9,19.0,2021,9,6.0,10.0,21.0,298900.0,298900.0,684173.0,86.38165694109576
Meteorological,Storm,Severe weather,CHN,China,Eastern Asia,144.0,2021,10,2.0,2021,10,5.0,5.0,52.0,40000.0,459.0,97437.0,86.38165694109576
Hydrological,Flood,Flood (General),KHM,Cambodia,South-eastern Asia,29905.0,2021,10,25.0,2021,10,27.0,19.0,21.0,12500.0,12500.0,107022.0,86.38165694109576
Hydrological,Flood,Flood (General),IND,India,Southern Asia,29905.0,2021,11,6.0,2021,11,8.0,14.0,21.0,11000.0,11000.0,107022.0,86.38165694109576
Hydrological,Flood,Flood (General),IND,India,Southern Asia,29905.0,2021,11,18.0,2021,11,19.0,62.0,21.0,74500.0,74500.0,107022.0,86.38165694109576
Meteorological,Storm,Storm surge,THA,Thailand,South-eastern Asia,144.0,2022,9,28.0,2022,9,29.0,1.0,2.0,40000.0,2.0,97437.0,93.29460735164001
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,29905.0,2021,11,29.0,2021,11,2.0,19.0,21.0,132900.0,132900.0,107022.0,86.38165694109576
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,7.3,2021,12,14.0,2021,12,14.0,7.0,7.0,1730.0,1737.0,104477.5,86.38165694109576
Climatological,Drought,Drought,AFG,Afghanistan,Southern Asia,3500.0,2021,1,,2023,1,,37.0,45.5,11000000.0,11000000.0,364331.0,86.38165694109576
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,5.6,2022,1,10.0,2022,1,10.0,7.0,2.0,300.0,302.0,104477.5,93.29460735164001
Hydrological,Mass movement (wet),Avalanche (wet),AFG,Afghanistan,Southern Asia,0.0,2022,2,7.0,2022,2,7.0,19.0,13.0,1275.5,300.0,20565.5,93.29460735164001
Hydrological,Flood,Flood (General),MYS,Malaysia,South-eastern Asia,29905.0,2022,3,6.0,2022,3,7.0,19.0,21.0,1290.0,1290.0,107022.0,93.29460735164001
Hydrological,Flood,Flood (General),VNM,Viet Nam,South-eastern Asia,29905.0,2022,12,1.0,2022,12,4.0,5.0,21.0,10495.0,10495.0,1608.0,93.29460735164001
Hydrological,Flood,Flash flood,PHL,Philippines,South-eastern Asia,29905.0,2022,4,3.0,2022,4,7.0,3.0,21.0,1955.0,1955.0,107022.0,93.29460735164001
Meteorological,Storm,Tropical cyclone,LKA,Sri Lanka,Southern Asia,100.0,2022,12,6.0,2022,12,8.0,2.0,52.0,6500.0,6500.0,97437.0,93.29460735164001
Hydrological,Flood,Flood (General),UZB,Uzbekistan,Central Asia,29905.0,2022,4,20.0,2022,4,20.0,5.0,6.0,159.0,165.0,107022.0,93.29460735164001
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,7.4,2002,11,2.0,2002,11,2.0,3.0,60.0,12426.0,60.0,104477.5,57.34184015407783
Meteorological,Storm,Storm (General),VNM,Viet Nam,South-eastern Asia,144.0,2022,5,9.0,2022,5,13.0,9.0,52.0,500.0,500.0,97437.0,93.29460735164001
Climatological,Wildfire,Forest fire,PAK,Pakistan,Southern Asia,47.5,2022,5,15.0,2022,5,24.0,4.0,4.0,4000.0,4004.0,328495.5,93.29460735164001
Hydrological,Mass movement (wet),Landslide (wet),IND,India,Southern Asia,0.0,2022,6,30.0,2022,6,6.0,67.0,13.0,1275.5,300.0,20565.5,93.29460735164001
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,144.0,2022,7,1.0,2022,7,4.0,24.0,52.0,40000.0,14400.0,496277.0,93.29460735164001
Hydrological,Flood,Flash flood,YEM,Yemen,Western Asia,29905.0,2022,8,3.0,2022,8,8.0,13.0,21.0,3400.0,3400.0,107022.0,93.29460735164001
Hydrological,Flood,Flash flood,CHN,China,Eastern Asia,29905.0,2022,8,17.0,2022,8,19.0,52.0,21.0,6200.0,6200.0,107022.0,93.29460735164001
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,148.0,2022,10,15.0,2022,10,16.0,12.0,2.0,103600.0,103602.0,97437.0,93.29460735164001
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,7.6,2023,1,10.0,2023,1,10.0,1.0,11.0,4350.0,4421.0,104477.5,97.13499263687517
Meteorological,Extreme temperature,Cold wave,AFG,Afghanistan,Southern Asia,-33.0,2023,1,9.0,2023,1,23.0,166.0,472.0,75000.0,5100.0,90654.0,97.13499263687517
Geophysical,Earthquake,Ground movement,SYR,Syrian Arab Republic,Western Asia,7.8,2023,2,6.0,2023,2,6.0,5670.0,11774.0,8000000.0,8011774.0,9162506.0,97.13499263687517
Hydrological,Flood,Flood (General),SYR,Syrian Arab Republic,Western Asia,29905.0,2023,3,19.0,2023,3,22.0,19.0,1.0,2850.0,2851.0,107022.0,97.13499263687517
Meteorological,Extreme temperature,Cold wave,LBN,Lebanon,Western Asia,35.0,2023,1,,2023,1,28.0,50.0,472.0,1024200.0,1024200.0,90654.0,97.13499263687517
Hydrological,Flood,Flood (General),TUR,Türkiye,Western Asia,29905.0,2023,3,14.0,2023,3,15.0,19.0,21.0,25450.0,20000.0,25737.0,97.13499263687517
Meteorological,Storm,Lightning/Thunderstorms,THA,Thailand,South-eastern Asia,144.0,2023,4,23.0,2023,4,24.0,12.0,52.0,22200.0,22200.0,97437.0,97.13499263687517
Geophysical,Volcanic activity,Lava flow,PHL,Philippines,South-eastern Asia,0.0,2023,6,5.0,2023,6,29.0,10.0,628.0,38396.0,39024.0,23153.0,97.13499263687517
Hydrological,Flood,Flash flood,IND,India,Southern Asia,29905.0,2023,6,26.0,2023,6,12.0,62.0,21.0,5.0,5.0,3088.0,97.13499263687517
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,29905.0,2023,7,3.0,2023,7,5.0,19.0,21.0,7650.0,7650.0,107022.0,97.13499263687517
Hydrological,Flood,Flash flood,AFG,Afghanistan,Southern Asia,29905.0,2023,7,22.0,2023,7,24.0,67.0,24.0,126000.0,126024.0,107022.0,97.13499263687517
Hydrological,Flood,Riverine flood,TUR,Türkiye,Western Asia,1610.0,2001,5,7.0,2001,5,8.0,3.0,21.0,1500.0,1500.0,107022.0,56.44657635473563
Climatological,Drought,Drought,IDN,Indonesia,South-eastern Asia,3500.0,2023,6,,2023,6,,37.0,45.5,18750000.0,18750000.0,364331.0,97.13499263687517
Geophysical,Earthquake,Ground movement,BGD,Bangladesh,Southern Asia,4.3,2000,1,2.0,2000,1,2.0,7.0,89.0,1000.0,1000.0,104477.5,54.89515197353657
Meteorological,Storm,Storm (General),MNG,Mongolia,Eastern Asia,144.0,2000,1,,2000,1,,4.0,52.0,500000.0,500000.0,145732.0,54.89515197353657
Geophysical,Volcanic activity,Ash fall,PHL,Philippines,South-eastern Asia,0.0,2000,2,24.0,2000,2,9.0,10.0,46.5,68426.0,68426.0,4033.0,54.89515197353657
Meteorological,Storm,Storm (General),JOR,Jordan,Western Asia,80.0,2000,1,24.0,2000,1,24.0,9.0,200.0,40000.0,200.0,97437.0,54.89515197353657
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,144.0,2000,5,18.0,2000,5,18.0,12.0,4.0,235885.0,235889.0,2188.0,54.89515197353657
Hydrological,Flood,Flash flood,IDN,Indonesia,South-eastern Asia,11400.0,2000,5,16.0,2000,5,24.0,126.0,21.0,50000.0,50000.0,143911.0,54.89515197353657
Meteorological,Storm,Storm (General),CHN,China,Eastern Asia,144.0,2000,5,1.0,2000,5,5.0,26.0,52.0,40000.0,14400.0,9108.0,54.89515197353657
Meteorological,Storm,Hail,JPN,Japan,Eastern Asia,144.0,2000,5,24.0,2000,5,24.0,12.0,100.0,12000.0,12100.0,637579.0,54.89515197353657
Hydrological,Flood,Riverine flood,TUR,Türkiye,Western Asia,17000.0,2000,5,27.0,2000,5,27.0,2.0,21.0,1000.0,1000.0,72866.0,54.89515197353657
Hydrological,Flood,Flood (General),THA,Thailand,South-eastern Asia,29905.0,2000,6,21.0,2000,6,21.0,19.0,21.0,2500.0,2500.0,107022.0,54.89515197353657
Hydrological,Mass movement (wet),Landslide (wet),IND,India,Southern Asia,0.0,2000,7,12.0,2000,7,12.0,58.0,38.0,7000.0,7038.0,20565.5,54.89515197353657
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,144.0,2000,8,22.0,2000,8,23.0,14.0,100.0,40000.0,2100.0,245923.0,54.89515197353657
Climatological,Wildfire,Forest fire,IND,India,Southern Asia,47.5,2018,3,10.0,2018,3,10.0,17.0,28.5,4000.0,1533.0,328495.5,80.04959625595113
Hydrological,Flood,Flood (General),KOR,Republic of Korea,Eastern Asia,129.0,2000,7,22.0,2000,7,22.0,13.0,3.0,25450.0,2589.0,41898.0,54.89515197353657
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,126.0,2000,7,8.0,2000,7,9.0,4.0,52.0,900.0,900.0,546496.0,54.89515197353657
Meteorological,Extreme temperature,Heat wave,ISR,Israel,Western Asia,45.0,2000,7,,2000,7,,50.0,472.0,75000.0,5100.0,90654.0,54.89515197353657
Meteorological,Storm,Tropical cyclone,VNM,Viet Nam,South-eastern Asia,144.0,2000,8,20.0,2000,8,20.0,15.0,4.0,40000.0,4.0,9108.0,54.89515197353657
Meteorological,Storm,Storm (General),CHN,China,Eastern Asia,144.0,2000,8,,2000,8,,10.0,30.0,40000.0,30.0,24206.0,54.89515197353657
Hydrological,Flood,Flash flood,IND,India,Southern Asia,129500.0,2000,8,23.0,2000,8,31.0,179.0,16.0,25450.0,252016.0,315146.0,54.89515197353657
Meteorological,Storm,Tropical cyclone,PRK,Democratic People's Republic of Korea,Eastern Asia,144.0,2000,8,31.0,2000,8,4.0,46.0,180.0,480000.0,627180.0,10929927.0,54.89515197353657
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,12680.0,2000,9,18.0,2000,9,21.0,884.0,21.0,24600000.0,24600000.0,1259674.0,54.89515197353657
Hydrological,Flood,Flash flood,BGD,Bangladesh,Southern Asia,162.0,2000,9,,2000,9,,31.0,21.0,2467138.0,2467138.0,910827.0,54.89515197353657
Hydrological,Flood,Riverine flood,VNM,Viet Nam,South-eastern Asia,49140.0,2000,11,18.0,2000,11,26.0,36.0,3.0,25000.0,25003.0,27325.0,54.89515197353657
Geophysical,Other,Landslide (dry),PHL,Philippines,South-eastern Asia,0.0,2000,11,8.0,2000,11,8.0,11.0,9.0,44267.5,79.5,126939.5,54.89515197353657
Hydrological,Flood,Flash flood,IDN,Indonesia,South-eastern Asia,590.0,2000,12,3.0,2000,12,6.0,38.0,21.0,39852.0,39852.0,107022.0,54.89515197353657
Meteorological,Storm,Tropical cyclone,LKA,Sri Lanka,Southern Asia,150.0,2000,12,24.0,2000,12,28.0,5.0,52.0,375000.0,375000.0,97437.0,54.89515197353657
Hydrological,Mass movement (wet),Avalanche (wet),AZE,Azerbaijan,Western Asia,0.0,2000,12,,2000,12,,11.0,13.0,1275.5,300.0,20565.5,54.89515197353657
Climatological,Drought,Drought,CYP,Cyprus,Western Asia,3500.0,2000,3,,2000,3,,37.0,45.5,2100000.0,2100000.0,364331.0,54.89515197353657
Climatological,Drought,Drought,AFG,Afghanistan,Southern Asia,3500.0,2000,5,,2002,5,,37.0,45.5,2580000.0,2580000.0,91.0,54.89515197353657
Climatological,Drought,Drought,UZB,Uzbekistan,Central Asia,860.0,2000,8,,2001,8,,37.0,45.5,600000.0,600000.0,91083.0,54.89515197353657
Climatological,Drought,Drought,MNG,Mongolia,Eastern Asia,3500.0,2000,2,,2002,2,,37.0,45.5,450000.0,450000.0,364331.0,54.89515197353657
Meteorological,Storm,Blizzard/Winter storm,CHN,China,Eastern Asia,144.0,2001,1,1.0,2001,1,17.0,49.0,78098.0,2496773.0,2574871.0,21259.0,56.44657635473563
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2020,6,18.0,2020,6,19.0,19.0,21.0,10000.0,10000.0,107022.0,82.50568384880243
Hydrological,Flood,Riverine flood,PHL,Philippines,South-eastern Asia,845.0,2001,1,15.0,2001,1,15.0,2.0,21.0,12000.0,12000.0,107022.0,56.44657635473563
Meteorological,Storm,Sand/Dust storm,SYR,Syrian Arab Republic,Western Asia,100.0,2001,2,21.0,2001,2,21.0,27.0,172.0,40000.0,172.0,97437.0,56.44657635473563
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,5.6,2001,4,12.0,2001,4,12.0,2.0,190.0,150000.0,150190.0,54919.0,56.44657635473563
Hydrological,Flood,Riverine flood,TUR,Türkiye,Western Asia,4900.0,2001,3,8.0,2001,3,8.0,4.0,21.0,450.0,450.0,107022.0,56.44657635473563
Meteorological,Storm,Tropical cyclone,BGD,Bangladesh,Southern Asia,144.0,2001,4,1.0,2001,4,1.0,193.0,2000.0,500.0,2500.0,97437.0,56.44657635473563
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,29905.0,2001,6,2.0,2001,6,2.0,29.0,21.0,1760000.0,1760000.0,138184.0,56.44657635473563
Meteorological,Storm,Storm (General),YEM,Yemen,Western Asia,144.0,2001,6,9.0,2001,6,9.0,13.0,52.0,40000.0,14400.0,97437.0,56.44657635473563
Meteorological,Storm,Storm (General),BGD,Bangladesh,Southern Asia,80.0,2001,4,28.0,2001,4,28.0,21.0,100.0,500.0,600.0,97437.0,56.44657635473563
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,169.0,2001,7,1.0,2001,7,1.0,33.0,8298.0,14990000.0,14998298.0,4859462.0,56.44657635473563
Hydrological,Flood,Flood (General),CHN,China,Eastern Asia,29905.0,2001,6,27.0,2001,6,27.0,22.0,7.0,25450.0,7.0,107022.0,56.44657635473563
Meteorological,Storm,Storm (General),THA,Thailand,South-eastern Asia,144.0,2001,6,27.0,2001,6,27.0,12.0,52.0,150.0,150.0,97437.0,56.44657635473563
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,5570.0,2001,8,25.0,2001,8,25.0,35.0,72.0,25450.0,2702.0,30117.0,56.44657635473563
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,4470.0,2001,7,4.0,2001,7,16.0,86.0,21.0,40000.0,40000.0,207141.0,56.44657635473563
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,1270.0,2001,7,31.0,2001,7,1.0,257.0,4.0,25450.0,3694.0,107022.0,56.44657635473563
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,109.0,2001,8,21.0,2001,8,23.0,9.0,40.0,7000.0,7040.0,1417269.0,56.44657635473563
Hydrological,Flood,Flood (General),BGD,Bangladesh,Southern Asia,29905.0,2001,8,31.0,2001,8,31.0,19.0,21.0,200000.0,200000.0,107022.0,56.44657635473563
Hydrological,Mass movement (wet),Landslide (wet),IND,India,Southern Asia,0.0,2001,8,14.0,2001,8,14.0,16.0,13.0,1275.5,300.0,20565.5,56.44657635473563
Meteorological,Storm,Tropical cyclone,TWN,Taiwan (Province of China),Eastern Asia,144.0,2001,9,16.0,2001,9,20.0,80.0,200.0,650000.0,650200.0,1417269.0,56.44657635473563
Hydrological,Flood,Flash flood,IRN,Iran (Islamic Republic of),Southern Asia,27360.0,2001,10,1.0,2001,10,2.0,19.0,21.0,3000.0,3000.0,107022.0,56.44657635473563
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,5.0,2001,6,28.0,2001,6,28.0,7.0,12.0,12500.0,12512.0,104477.5,56.44657635473563
Hydrological,Mass movement (wet),Landslide (wet),MMR,Myanmar,South-eastern Asia,0.0,2020,7,1.0,2020,7,2.0,174.0,54.0,1500.0,1554.0,20565.5,82.50568384880243
Meteorological,Storm,Tornado,BGD,Bangladesh,Southern Asia,150.0,2001,10,5.0,2001,10,5.0,12.0,450.0,25000.0,25450.0,97437.0,56.44657635473563
Meteorological,Storm,Tropical cyclone,IND,India,Southern Asia,144.0,2001,10,,2001,10,,78.0,52.0,25000.0,27000.0,97437.0,56.44657635473563
Hydrological,Flood,Flood (General),MYS,Malaysia,South-eastern Asia,29905.0,2001,10,,2001,10,,19.0,21.0,5000.0,5000.0,107022.0,56.44657635473563
Meteorological,Storm,Tropical cyclone,PHL,Philippines,South-eastern Asia,215.0,2001,11,8.0,2001,11,8.0,290.0,147.0,1060000.0,1060147.0,40215.0,56.44657635473563
Hydrological,Flood,Flash flood,IRN,Iran (Islamic Republic of),Southern Asia,29905.0,2015,11,12.0,2015,11,12.0,9.0,21.0,17700.0,17700.0,682919.0,75.55797676894446
Hydrological,Mass movement (wet),Landslide (wet),IDN,Indonesia,South-eastern Asia,0.0,2001,10,30.0,2001,10,30.0,21.0,13.0,1275.5,310.0,20565.5,56.44657635473563
Hydrological,Flood,Riverine flood,MYS,Malaysia,South-eastern Asia,22940.0,2001,12,22.0,2002,12,3.0,11.0,21.0,18000.0,18000.0,107022.0,56.44657635473563
Meteorological,Extreme temperature,Cold wave,BGD,Bangladesh,Southern Asia,7.0,2001,12,,2001,12,,6.0,2000.0,75000.0,2000.0,90654.0,56.44657635473563
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,4800.0,2001,6,15.0,2001,6,15.0,66.0,3110.0,25450.0,3110.0,295855.0,56.44657635473563
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,0.0,2015,11,13.0,2015,11,13.0,38.0,13.0,300.0,300.0,20565.5,75.55797676894446
Hydrological,Flood,Flood (General),IND,India,Southern Asia,29905.0,2001,9,7.0,2001,9,24.0,146.0,21.0,25450.0,20000.0,182473.0,56.44657635473563
Climatological,Drought,Drought,CHN,China,Eastern Asia,233000.0,2001,3,,2001,3,,37.0,45.5,15800000.0,15800000.0,364331.0,56.44657635473563
Climatological,Drought,Drought,LKA,Sri Lanka,Southern Asia,3500.0,2001,9,,2002,9,,37.0,45.5,1000000.0,1000000.0,364331.0,56.44657635473563
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,1490.0,2002,1,8.0,2002,1,12.0,21.0,21.0,40.0,40.0,107022.0,57.34184015407783
Hydrological,Flood,Riverine flood,IRN,Iran (Islamic Republic of),Southern Asia,59660.0,2002,1,11.0,2002,1,13.0,11.0,21.0,25450.0,4500.0,102996.0,57.34184015407783
Geophysical,Earthquake,Ground movement,TJK,Tajikistan,Central Asia,6.3,2002,3,3.0,2002,3,3.0,7.0,89.0,12426.0,500.0,104477.5,57.34184015407783
Meteorological,Storm,Sand/Dust storm,CHN,China,Eastern Asia,144.0,2002,3,14.0,2002,3,21.0,12.0,52.0,100000000.0,100000000.0,97437.0,57.34184015407783
Climatological,Wildfire,Forest fire,VNM,Viet Nam,South-eastern Asia,55.0,2002,3,24.0,2002,3,12.0,7.0,28.5,4000.0,1533.0,328495.5,57.34184015407783
Meteorological,Storm,Storm (General),BGD,Bangladesh,Southern Asia,90.0,2002,3,25.0,2002,3,25.0,32.0,52.0,40000.0,1000.0,97437.0,57.34184015407783
Hydrological,Flood,Flood (General),YEM,Yemen,Western Asia,29905.0,2002,4,11.0,2002,4,11.0,2.0,21.0,260.0,700.0,107022.0,57.34184015407783
Meteorological,Storm,Hail,IND,India,Southern Asia,144.0,2002,4,11.0,2002,4,11.0,12.0,200.0,10000.0,10200.0,97437.0,57.34184015407783
Hydrological,Flood,Riverine flood,IDN,Indonesia,South-eastern Asia,4900.0,2002,4,17.0,2002,4,20.0,19.0,21.0,25450.0,20000.0,107022.0,57.34184015407783
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,156100.0,2002,5,22.0,2002,5,29.0,19.0,21.0,20000000.0,20000000.0,1644523.0,57.34184015407783
Meteorological,Storm,Severe weather,PAK,Pakistan,Southern Asia,144.0,2002,5,27.0,2002,5,27.0,14.0,12.0,40000.0,12.0,97437.0,57.34184015407783
Hydrological,Flood,Riverine flood,IND,India,Southern Asia,276600.0,2002,6,21.0,2002,6,28.0,549.0,21.0,42000000.0,42000000.0,53664.0,57.34184015407783
Meteorological,Storm,Storm (General),KOR,Republic of Korea,Eastern Asia,144.0,2002,7,5.0,2002,7,7.0,4.0,52.0,40000.0,14400.0,17439.0,57.34184015407783
Hydrological,Mass movement (wet),Landslide (wet),NPL,Nepal,Southern Asia,0.0,2002,7,15.0,2002,7,15.0,472.0,105.0,265760.0,265865.0,20565.5,57.34184015407783
Meteorological,Storm,Tropical cyclone,JPN,Japan,Eastern Asia,144.0,2002,7,5.0,2002,7,5.0,5.0,18.0,100000.0,100018.0,8720.0,57.34184015407783
Hydrological,Flood,Riverine flood,TUR,Türkiye,Western Asia,15130.0,2002,7,23.0,2002,7,27.0,34.0,21.0,3000.0,3000.0,107022.0,57.34184015407783
Hydrological,Flood,Riverine flood,YEM,Yemen,Western Asia,5180.0,2002,7,24.0,2002,7,26.0,13.0,21.0,25450.0,20000.0,107022.0,57.34184015407783
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,127600.0,2002,7,21.0,2002,7,29.0,11.0,12.0,10000.0,12312.0,67316.0,57.34184015407783
Hydrological,Flood,Riverine flood,CHN,China,Eastern Asia,17270.0,2002,8,14.0,2002,8,20.0,178.0,311.0,999000.0,999311.0,7324.0,57.34184015407783
Hydrological,Flood,Coastal flood,PHL,Philippines,South-eastern Asia,11680.0,2002,8,13.0,2002,8,17.0,26.0,59.0,3500.0,3559.0,107022.0,57.34184015407783
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,6.2,2002,8,15.0,2002,8,15.0,7.0,48.0,2500.0,2548.0,104477.5,57.34184015407783
Geophysical,Earthquake,Ground movement,IND,India,Southern Asia,6.5,2002,9,13.0,2002,9,13.0,2.0,89.0,12426.0,200.0,104477.5,57.34184015407783
Hydrological,Flood,Flood (General),IND,India,Southern Asia,29905.0,2002,10,1.0,2002,10,1.0,20.0,21.0,200.0,200.0,107022.0,57.34184015407783
Meteorological,Storm,Tropical cyclone,KOR,Republic of Korea,Eastern Asia,204.0,2002,8,31.0,2002,8,6.0,184.0,52.0,88625.0,88625.0,7324495.0,57.34184015407783
Meteorological,Storm,Tropical cyclone,PRK,Democratic People's Republic of Korea,Eastern Asia,144.0,2002,8,31.0,2002,8,6.0,3.0,52.0,7401.0,7401.0,872.0,57.34184015407783
Meteorological,Storm,Storm (General),JPN,Japan,Eastern Asia,144.0,2002,9,4.0,2002,9,8.0,1.0,52.0,40000.0,14400.0,34879.0,57.34184015407783
Hydrological,Flood,Riverine flood,YEM,Yemen,Western Asia,19470.0,2002,8,22.0,2002,8,6.0,28.0,21.0,25450.0,20000.0,107022.0,57.34184015407783
Meteorological,Storm,Tropical cyclone,CHN,China,Eastern Asia,144.0,2002,9,13.0,2002,9,13.0,25.0,52.0,180000.0,180000.0,97437.0,57.34184015407783
Hydrological,Mass movement (wet),Landslide (wet),CHN,China,Eastern Asia,0.0,2002,10,4.0,2002,10,4.0,15.0,11.0,1275.5,11.0,20565.5,57.34184015407783
Geophysical,Volcanic activity,Ash fall,IDN,Indonesia,South-eastern Asia,0.0,2002,11,11.0,2002,11,11.0,10.0,46.5,5000.0,5000.0,23153.0,57.34184015407783
Hydrological,Flood,Riverine flood,LKA,Sri Lanka,Southern Asia,14150.0,2002,12,16.0,2002,12,20.0,2.0,21.0,500000.0,500000.0,107022.0,57.34184015407783
Meteorological,Storm,Tornado,CHN,China,Eastern Asia,144.0,2002,12,25.0,2002,12,25.0,27.0,110.0,220000.0,220110.0,57550.0,57.34184015407783
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.2,2002,12,24.0,2002,12,24.0,7.0,15.0,15000.0,15015.0,104477.5,57.34184015407783
Meteorological,Extreme temperature,Cold wave,IND,India,Southern Asia,5.0,2002,12,,2002,12,,900.0,472.0,75000.0,5100.0,90654.0,57.34184015407783
Geophysical,Earthquake,Ground movement,IDN,Indonesia,South-eastern Asia,6.4,2002,9,20.0,2002,9,20.0,7.0,89.0,155.0,155.0,104477.5,57.34184015407783
Geophysical,Earthquake,Ground movement,CHN,China,Eastern Asia,5.6,2002,12,14.0,2002,12,14.0,2.0,89.0,65500.0,65500.0,104477.5,57.34184015407783
Hydrological,Flood,Flood (General),IDN,Indonesia,South-eastern Asia,29905.0,2003,1,8.0,2003,1,8.0,19.0,21.0,230.0,230.0,107022.0,58.6435529778532
Meteorological,Storm,Tornado,CYP,Cyprus,Western Asia,144.0,2003,1,27.0,2003,1,27.0,12.0,30.0,40000.0,30.0,17052.0,58.6435529778532
Geophysical,Earthquake,Ground movement,IRN,Iran (Islamic Republic of),Southern Asia,5.2,2003,1,11.0,2003,1,11.0,7.0,80.0,6750.0,10080.0,104477.5,58.6435529778532
